word,word count,root word,root language,second language,ranked languages
the,6666,the,Old English,Sanskrit,Old English;Sanskrit;Greek;Irish
and,5754,and,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Latin;Greek
to,4415,to,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Latin;Slavonic;Greek;Old Irish
he,4213,he,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Greek;Slavonic
a,3853,,,,
i,3542,,,,
you,3460,you,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;French
of,3129,of,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Latin;Old French
it,2818,it,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch
in,2696,in,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Old Norse;Greek;Latin;Old Irish;Welsh;Slavonic;American English
that,2624,that,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
was,2458,was,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Sanskrit
his,1911,his,Old English,Germanic,Old English;Germanic;German
at,1792,at,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German;Latin;Sanskrit;Dutch
but,1513,but,Old English,Germanic,Old English;Germanic
not,1500,not,English,,English
her,1479,her,Old English,Old Frisian,Old English;Old Frisian;Middle Dutch;Dutch;German
with,1460,with,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Middle Dutch;Dutch;Sanskrit;Slavonic;Latin;French
him,1402,him,Old English,German,Old English;German;Dutch
s,1394,,,,
she,1366,she,Old English,Dutch,Old English;Dutch;German;Greek
had,1334,,,,
for,1325,for,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
on,1294,on,Old English,Germanic,Old English;Germanic;Dutch;German;Greek;Latin;Slavonic
is,1178,is,Old English,Germanic,Old English;Germanic;German;Old Norse;Sanskrit;Greek;Latin;Slavonic
all,1072,all,Old English,Germanic,Old English;Germanic;Old Frisian;German;Old Norse
what,1049,what,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Latin
as,1005,as,Old English,German,Old English;German;Latin
have,973,have,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;German;Latin;American English
be,928,be,Old English,Germanic,Old English;Germanic;German;Latin;Slavonic;Greek;Old Irish;Russian;Sanskrit
me,910,me,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Sanskrit;Greek;Latin;Old Irish;Welsh;Slavonic
n't,899,,,,
do,884,do,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German
so,734,so,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Old Frisian;Greek
raskolnikov,727,,,,
are,713,are,Old English,Old Norse,Old English;Old Norse
there,676,there,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Middle Dutch;Dutch;Old Norse;Sanskrit
they,652,they,Old Norse,Germanic,Old Norse;Germanic;Old English
from,641,from,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse
were,625,were,Old English,,Old English
out,611,out,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Sanskrit;Old Irish;Latin;Greek;Russian
my,600,,,,
no,572,no,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German
up,567,up,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Old Norse;Dutch;German;Sanskrit;Greek;Latin
this,563,this,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German
your,549,your,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;German
one,523,one,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Greek;Latin;Slavonic;Old Irish;French
did,503,did,Old English,Germanic,Old English;Germanic
been,495,,,,
would,494,would,Old English,,Old English
now,486,now,Old English,Germanic,Old English;Germanic;Old Norse;Dutch;Old Frisian;German;Sanskrit;Greek;Latin;Slavonic;Old Irish
if,482,if,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;German;Dutch
them,482,them,Old Norse,Old English,Old Norse;Old English
said,468,,,,
will,453,will,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Greek;Latin;Slavonic;Welsh
by,450,by,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
am,448,am,Old English,Old Norse,Old English;Old Norse;Slavonic;Greek;Latin;Sanskrit;German;Germanic
could,446,could,Old English,,Old English
about,445,about,Old English,American English,Old English;American English
how,440,how,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
an,435,an,Old English,French,Old English;French;German
come,424,come,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Sanskrit;Greek;Latin
know,423,know,Old English,Germanic,Old English;Germanic;German;Slavonic;Russian;Latin;Greek;Sanskrit;French
too,414,too,Old English,German,Old English;German
then,395,then,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Dutch;German
