word,word count,root word,root language,second language,ranked languages
the,4031,the,Old English,Sanskrit,Old English;Sanskrit;Greek;Irish
and,2211,and,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Latin;Greek
of,1845,of,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Latin;Old French
to,1741,to,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Latin;Slavonic;Greek;Old Irish
he,1695,he,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Greek;Slavonic
a,1561,,,,
was,1169,was,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Sanskrit
his,1154,his,Old English,Germanic,Old English;Germanic;German
in,1044,in,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Old Norse;Greek;Latin;Old Irish;Welsh;Slavonic;American English
had,812,,,,
her,789,her,Old English,Old Frisian,Old English;Old Frisian;Middle Dutch;Dutch;German
i,772,,,,
said,755,,,,
she,710,she,Old English,Dutch,Old English;Dutch;German;Greek
that,699,that,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
it,643,it,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch
mr,576,,,,
s,565,,,,
for,497,for,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
at,493,at,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German;Latin;Sanskrit;Dutch
him,486,him,Old English,German,Old English;German;Dutch
with,481,with,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Middle Dutch;Dutch;Sanskrit;Slavonic;Latin;French
on,452,on,Old English,Germanic,Old English;Germanic;Dutch;German;Greek;Latin;Slavonic
you,451,you,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;French
as,369,as,Old English,German,Old English;German;Latin
but,344,but,Old English,Germanic,Old English;Germanic
not,286,not,English,,English
they,278,they,Old Norse,Germanic,Old Norse;Germanic;Old English
were,272,were,Old English,,Old English
when,265,when,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Latin
all,257,all,Old English,Germanic,Old English;Germanic;Old Frisian;German;Old Norse
be,246,be,Old English,Germanic,Old English;Germanic;German;Latin;Slavonic;Greek;Old Irish;Russian;Sanskrit
would,244,would,Old English,,Old English
