word,word count,root word,root language,second language,ranked languages
the,4179,the,Old English,Sanskrit,Old English;Sanskrit;Greek;Irish
and,2962,and,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Latin;Greek
i,2844,,,,
of,2637,of,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Latin;Old French
to,2086,to,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Latin;Slavonic;Greek;Old Irish
my,1771,,,,
a,1377,,,,
in,1125,in,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Old Norse;Greek;Latin;Old Irish;Welsh;Slavonic;American English
was,1021,was,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Sanskrit
that,1014,that,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
me,864,me,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Sanskrit;Greek;Latin;Old Irish;Welsh;Slavonic
but,685,but,Old English,Germanic,Old English;Germanic
had,685,,,,
with,666,with,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Middle Dutch;Dutch;Sanskrit;Slavonic;Latin;French
he,603,he,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Greek;Slavonic
you,573,you,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;French
which,558,which,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German
not,554,not,English,,English
it,544,it,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch
his,531,his,Old English,Germanic,Old English;Germanic;German
as,526,as,Old English,German,Old English;German;Latin
for,460,for,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
by,459,by,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
on,458,on,Old English,Germanic,Old English;Germanic;Dutch;German;Greek;Latin;Slavonic
this,401,this,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German
from,384,from,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse
her,372,her,Old English,Old Frisian,Old English;Old Frisian;Middle Dutch;Dutch;German
have,365,have,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;German;Latin;American English
be,355,be,Old English,Germanic,Old English;Germanic;German;Latin;Slavonic;Greek;Old Irish;Russian;Sanskrit
when,328,when,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Latin
at,317,at,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German;Latin;Sanskrit;Dutch
were,307,were,Old English,,Old English
is,305,is,Old English,Germanic,Old English;Germanic;German;Old Norse;Sanskrit;Greek;Latin;Slavonic
she,253,she,Old English,Dutch,Old English;Dutch;German;Greek
your,250,your,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;German
him,218,him,Old English,German,Old English;German;Dutch
an,209,an,Old English,French,Old English;French;German
so,209,so,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Old Frisian;Greek
they,205,they,Old Norse,Germanic,Old Norse;Germanic;Old English
one,200,one,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Greek;Latin;Slavonic;Old Irish;French
all,199,all,Old English,Germanic,Old English;Germanic;Old Frisian;German;Old Norse
could,196,could,Old English,,Old English
will,194,will,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Greek;Latin;Slavonic;Welsh
if,193,if,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;German;Dutch
been,190,,,,
would,183,would,Old English,,Old English
their,182,their,Old Norse,Old English,Old Norse;Old English
are,176,are,Old English,Old Norse,Old English;Old Norse
who,173,who,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Sanskrit;Latin;Slavonic;Russian;Old Irish;Welsh
we,171,we,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Slavonic
no,170,no,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German
or,169,or,Old English,Old Frisian,Old English;Old Frisian;Middle Dutch;Dutch;Old Norse;German
more,163,more,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Old Irish;Welsh;Greek
now,154,now,Old English,Germanic,Old English;Germanic;Old Norse;Dutch;Old Frisian;German;Sanskrit;Greek;Latin;Slavonic;Old Irish
should,153,should,Old English,,Old English
these,153,these,Old English,,Old English
yet,152,yet,Old English,Old Frisian,Old English;Old Frisian;German;Germanic
some,147,some,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Old Norse;American English
before,146,before,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German
can,139,can,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German
man,135,man,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;German;Old Norse;Sanskrit;Slavonic;Russian;Latin;Old Irish;Welsh;Greek
myself,135,myself,Old English,,Old English
father,131,,,,
what,131,what,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Latin
them,127,them,Old Norse,Old English,Old Norse;Old English
am,126,am,Old English,Old Norse,Old English;Old Norse;Slavonic;Greek;Latin;Sanskrit;German;Germanic
upon,126,upon,Old English,Old Norse,Old English;Old Norse
our,125,our,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Latin
into,124,into,Old English,American English,Old English;American English
only,123,only,Old English,German,Old English;German;Latin;Greek
its,122,its,English,,English
did,119,did,Old English,Germanic,Old English;Germanic
