word,word count
the,4179
and,2962
i,2844
of,2637
to,2086
my,1771
a,1377
in,1125
was,1021
that,1014
me,864
but,685
had,685
with,666
he,603
you,573
which,558
not,554
it,544
his,531
as,526
for,460
by,459
on,458
this,401
from,384
her,372
have,365
be,355
when,328
at,317
were,307
is,305
she,253
your,250
him,218
an,209
so,209
they,205
one,200
all,199
could,196
will,194
if,193
been,190
would,183
their,182
are,176
who,173
we,171
no,170
or,169
more,163
now,154
should,153
these,153
yet,152
some,147
before,146
can,139
man,135
myself,135
father,131
what,131
them,127
am,126
upon,126
our,125
into,124
only,123
its,122
did,119
do,116
life,113
than,110
every,109
first,108
might,108
then,108
own,107
shall,105
eyes,104
said,102
time,98
being,96
how,95
may,95
even,94
saw,94
towards,94
those,91
elizabeth,89
most,88
night,88
found,87
such,86
mind,85
again,83
any,83
day,81
whom,80
felt,79
after,78
there,78
where,77
death,76
feelings,76
heart,76
other,76
very,75
s,74
dear,72
thought,72
soon,71
friend,70
made,70
up,70
many,68
while,68
during,67
passed,67
still,67
also,66
never,66
miserable,65
must,64
thus,63
has,62
heard,62
same,62
became,61
few,61
sometimes,60
us,60
place,59
human,58
like,58
little,58
love,58
over,58
appeared,57
indeed,56
clerval,55
justine,55
friends,54
misery,54
often,54
about,53
although,53
country,53
nature,53
until,52
words,52
among,51
cottage,51
several,51
felix,50
great,50
hope,50
old,50
see,50
whose,50
away,49
despair,49
feel,49
happiness,49
know,49
return,49
another,47
days,47
through,47
happy,46
long,46
voice,46
ever,45
sun,45
world,45
alone,44
creature,44
horror,44
men,44
poor,44
scene,44
years,44
much,43
well,43
came,42
ice,41
light,41
affection,40
joy,40
far,39
fear,39
months,39
morning,39
new,39
nothing,39
out,39
part,39
almost,38
countenance,38
entered,38
hands,38
near,38
power,38
thoughts,38
two,38
come,37
good,37
himself,37
house,37
moment,37
therefore,37
earth,36
journey,36
make,36
mountains,36
pleasure,36
possessed,36
seemed,36
soul,36
took,36
child,35
here,35
left,35
nor,35
why,35
around,34
believe,34
down,34
forever,34
geneva,34
gentle,34
hours,34
spirit,34
become,33
cause,33
idea,33
kind,33
knowledge,33
last,33
lost,33
sea,33
taken,33
work,33
already,32
continued,32
discovered,32
gave,32
however,32
knew,32
mother,32
