word,word count,root word,root language,second language,ranked languages
the,14395,the,Old English,Sanskrit,Old English;Sanskrit;Greek;Irish
of,10240,of,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Latin;Old French
and,7132,and,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Latin;Greek
to,7130,to,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Latin;Slavonic;Greek;Old Irish
is,4804,is,Old English,Germanic,Old English;Germanic;German;Old Norse;Sanskrit;Greek;Latin;Slavonic
that,4765,that,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
in,4058,in,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Old Norse;Greek;Latin;Old Irish;Welsh;Slavonic;American English
a,3064,,,,
by,2568,by,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
for,2477,for,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
not,2470,not,English,,English
it,2410,it,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch
but,2243,but,Old English,Germanic,Old English;Germanic
as,2222,as,Old English,German,Old English;German;Latin
be,2210,be,Old English,Germanic,Old English;Germanic;German;Latin;Slavonic;Greek;Old Irish;Russian;Sanskrit
or,2167,or,Old English,Old Frisian,Old English;Old Frisian;Middle Dutch;Dutch;Old Norse;German
which,2008,which,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German
they,1723,they,Old Norse,Germanic,Old Norse;Germanic;Old English
his,1634,his,Old English,Germanic,Old English;Germanic;German
are,1584,are,Old English,Old Norse,Old English;Old Norse
he,1520,he,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Greek;Slavonic
their,1479,their,Old Norse,Old English,Old Norse;Old English
them,1195,them,Old Norse,Old English,Old Norse;Old English
from,1183,from,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse
all,1107,all,Old English,Germanic,Old English;Germanic;Old Frisian;German;Old Norse
man,1037,man,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;German;Old Norse;Sanskrit;Slavonic;Russian;Latin;Old Irish;Welsh;Greek
god,1035,god,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse;Slavonic;Sanskrit;Greek;Latin
have,973,have,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;German;Latin;American English
men,955,,,,
no,934,no,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German
this,916,this,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German
was,911,was,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Sanskrit
there,903,there,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Middle Dutch;Dutch;Old Norse;Sanskrit
other,832,other,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Latin
one,816,one,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Greek;Latin;Slavonic;Old Irish;French
any,812,any,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German
him,796,him,Old English,German,Old English;German;Dutch
so,720,so,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Old Frisian;Greek
power,704,,,,
when,696,when,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Latin
if,692,if,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;German;Dutch
with,687,with,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Middle Dutch;Dutch;Sanskrit;Slavonic;Latin;French
such,665,such,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German
were,664,were,Old English,,Old English
can,646,can,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German
law,612,law,Old English,Old Norse,Old English;Old Norse;Germanic;Latin;German
therefore,606,therefore,Old English,Dutch,Old English;Dutch;German
i,582,,,,
shall,582,shall,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German
an,575,an,Old English,French,Old English;French;German
also,574,also,Old English,German,Old English;German;Dutch
may,570,may,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Greek;Slavonic;Sanskrit
same,532,same,Old English,Old Norse,Old English;Old Norse;Germanic;Old Saxon;German;Dutch;Sanskrit;Greek;Latin;Old Irish;Slavonic
those,497,those,Old English,,Old English
at,463,at,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German;Latin;Sanskrit;Dutch
soveraign,462,,,,
because,460,because,French,,French
what,457,what,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Latin
our,451,our,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Latin
had,447,,,,
say,447,say,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Slavonic;Old Irish;American English
hath,442,,,,
we,441,we,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Slavonic
own,437,own,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Dutch;German
nor,422,nor,English,,English
some,422,some,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Old Norse;American English
every,419,every,Old English,,Old English
on,417,on,Old English,Germanic,Old English;Germanic;Dutch;German;Greek;Latin;Slavonic
common-wealth,407,,,,
onely,406,one,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Greek;Latin;Slavonic;Old Irish;French
another,401,another,Old English,,Old English
nature,398,nature,Old French,Latin,Old French;Latin
will,395,will,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Greek;Latin;Slavonic;Welsh
time,390,,,,
more,374,more,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Old Irish;Welsh;Greek
than,374,than,Old English,Germanic,Old English;Germanic;Dutch;German
into,359,into,Old English,American English,Old English;American English
yet,345,yet,Old English,Old Frisian,Old English;Old Frisian;German;Germanic
right,343,right,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Greek;Latin;Old Irish;Welsh
then,340,then,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Dutch;German
upon,337,upon,Old English,Old Norse,Old English;Old Norse
people,326,people,Old French,Latin,Old French;Latin;Spanish;Italian;English;Arabic
