Unnamed: 0,word,root word,root language,second language,ranked languages
0,the,the,Old English,Sanskrit,Old English;Sanskrit;Greek;Irish
1,and,and,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Latin;Greek
2,of,of,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Latin;Old French
3,to,to,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Latin;Slavonic;Greek;Old Irish
4,he,he,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Greek;Slavonic
5,a,,,,
6,was,was,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Sanskrit
7,his,his,Old English,Germanic,Old English;Germanic;German
8,in,in,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Old Norse;Greek;Latin;Old Irish;Welsh;Slavonic;American English
9,had,,,,
10,her,her,Old English,Old Frisian,Old English;Old Frisian;Middle Dutch;Dutch;German
11,i,,,,
12,said,,,,
13,she,she,Old English,Dutch,Old English;Dutch;German;Greek
14,that,that,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
15,it,it,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch
16,mr,,,,
17,s,,,,
18,for,for,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
19,at,at,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German;Latin;Sanskrit;Dutch
20,him,him,Old English,German,Old English;German;Dutch
21,with,with,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Middle Dutch;Dutch;Sanskrit;Slavonic;Latin;French
22,on,on,Old English,Germanic,Old English;Germanic;Dutch;German;Greek;Latin;Slavonic
23,you,you,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;French
24,as,as,Old English,German,Old English;German;Latin
25,but,but,Old English,Germanic,Old English;Germanic
26,not,not,English,,English
27,they,they,Old Norse,Germanic,Old Norse;Germanic;Old English
28,were,were,Old English,,Old English
29,when,when,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Latin
30,all,all,Old English,Germanic,Old English;Germanic;Old Frisian;German;Old Norse
31,be,be,Old English,Germanic,Old English;Germanic;German;Latin;Slavonic;Greek;Old Irish;Russian;Sanskrit
32,would,would,Old English,,Old English
33,from,from,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse
34,man,man,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;German;Old Norse;Sanskrit;Slavonic;Russian;Latin;Old Irish;Welsh;Greek
