word,word count,root word,root language,second language,ranked languages
the,9807,the,Old English,Sanskrit,Old English;Sanskrit;Greek;Irish
and,7555,and,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Latin;Greek
of,5148,of,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Latin;Old French
a,4882,,,,
to,3960,to,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Latin;Slavonic;Greek;Old Irish
in,2945,in,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Old Norse;Greek;Latin;Old Irish;Welsh;Slavonic;American English
was,2529,was,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Sanskrit
it,2456,it,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch
that,2205,that,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
i,2056,,,,
he,1878,he,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Greek;Slavonic
his,1336,his,Old English,Germanic,Old English;Germanic;German
with,1288,with,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Middle Dutch;Dutch;Sanskrit;Slavonic;Latin;French
had,1188,,,,
for,1185,for,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
we,1180,we,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Slavonic
as,1081,as,Old English,German,Old English;German;Latin
on,1051,on,Old English,Germanic,Old English;Germanic;Dutch;German;Greek;Latin;Slavonic
but,990,but,Old English,Germanic,Old English;Germanic
at,929,at,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German;Latin;Sanskrit;Dutch
not,905,not,English,,English
is,859,is,Old English,Germanic,Old English;Germanic;German;Old Norse;Sanskrit;Greek;Latin;Slavonic
you,843,you,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;French
were,799,were,Old English,,Old English
they,767,they,Old Norse,Germanic,Old Norse;Germanic;Old English
him,709,him,Old English,German,Old English;German;Dutch
all,691,all,Old English,Germanic,Old English;Germanic;Old Frisian;German;Old Norse
by,685,by,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
one,681,one,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Greek;Latin;Slavonic;Old Irish;French
from,648,from,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse
or,647,or,Old English,Old Frisian,Old English;Old Frisian;Middle Dutch;Dutch;Old Norse;German
this,636,this,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German
would,607,would,Old English,,Old English
an,599,an,Old English,French,Old English;French;German
up,588,up,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Old Norse;Dutch;German;Sanskrit;Greek;Latin
out,575,out,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Sanskrit;Old Irish;Latin;Greek;Russian
be,565,be,Old English,Germanic,Old English;Germanic;German;Latin;Slavonic;Greek;Old Irish;Russian;Sanskrit
have,549,have,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;German;Latin;American English
so,537,so,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Old Frisian;Greek
there,536,there,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Middle Dutch;Dutch;Old Norse;Sanskrit
my,532,,,,
s,517,,,,
then,494,then,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Dutch;German
when,477,when,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Latin
if,468,if,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;German;Dutch
no,466,no,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German
could,457,could,Old English,,Old English
me,444,me,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Sanskrit;Greek;Latin;Old Irish;Welsh;Slavonic
their,431,their,Old Norse,Old English,Old Norse;Old English
them,425,them,Old Norse,Old English,Old Norse;Old English
about,400,about,Old English,American English,Old English;American English
down,394,down,Old English,American English,Old English;American English
our,387,our,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Latin
said,379,,,,
man,371,man,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;German;Old Norse;Sanskrit;Slavonic;Russian;Latin;Old Irish;Welsh;Greek
which,366,which,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German
two,350,two,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Dutch;German;Sanskrit;Greek;Latin;Slavonic
do,335,do,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German
time,330,,,,
been,319,,,,
did,312,did,Old English,Germanic,Old English;Germanic
are,299,are,Old English,Old Norse,Old English;Old Norse
any,295,any,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German
into,294,into,Old English,American English,Old English;American English
its,291,its,English,,English
some,280,some,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Old Norse;American English
day,279,day,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;Old Frisian;German;Old Norse;Latin;Sanskrit
like,277,like,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;German;Latin;Norse
who,271,who,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Sanskrit;Latin;Slavonic;Russian;Old Irish;Welsh
what,267,what,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Latin
other,265,other,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Latin
more,263,more,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Old Irish;Welsh;Greek
n't,263,,,,
over,262,over,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;German
after,257,after,Old English,Old Norse,Old English;Old Norse;German;Greek
never,256,never,Old English,Italian,Old English;Italian;French;Spanish;Latin;American English
came,251,,,,
through,247,through,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Latin;Old Irish;Welsh;American English
only,242,only,Old English,German,Old English;German;Latin;Greek
will,239,will,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Greek;Latin;Slavonic;Welsh
