word,word count
the,3412
of,2456
to,2115
and,2088
in,989
that,956
a,952
it,878
is,816
be,698
as,623
his,616
for,563
he,555
or,546
by,538
not,490
they,473
their,466
which,455
any,446
but,417
power,410
have,395
all,362
are,343
this,327
them,321
one,315
no,314
so,275
him,266
can,261
sect,253
from,248
with,240
has,229
who,226
may,225
men,225
man,223
right,221
i,208
being,207
government,207
will,206
nature,204
people,204
society,202
state,195
law,188
if,184
when,182
other,176
such,175
there,172
an,171
laws,169
was,165
those,161
into,153
what,150
on,148
legislative,143
at,140
own,140
s,140
than,140
had,134
only,134
over,131
where,129
himself,128
another,125
without,123
every,121
force,121
themselves,120
made,119
upon,118
under,115
make,112
property,106
should,106
shall,104
hath,102
were,101
more,100
common,98
good,97
war,97
consent,96
up,96
part,95
yet,95
much,92
authority,91
children,91
use,91
do,89
life,89
reason,89
we,87
father,86
body,85
would,80
could,77
commonwealth,75
liberty,75
must,75
some,75
though,75
take,73
first,72
nor,72
same,71
against,69
therefore,69
hands,68
then,68
free,67
king,66
out,66
put,66
world,66
my,65
having,64
great,63
public,63
community,62
time,62
mankind,61
others,61
these,61
far,60
thus,60
too,58
absolute,57
because,57
give,56
been,55
end,54
god,54
labour,54
me,54
might,54
land,53
before,51
judge,51
never,51
appeal,50
think,50
well,50
nothing,49
very,49
also,48
preservation,48
way,48
away,47
still,47
till,47
given,46
how,46
person,46
rule,46
between,45
its,45
set,45
subject,45
thing,45
things,45
makes,44
necessary,44
parents,44
prince,44
always,43
dominion,43
done,43
natural,43
title,43
together,43
us,43
both,42
rest,42
supreme,42
arbitrary,41
whether,41
whom,41
executive,40
left,40
either,39
freedom,39
persons,39
cases,38
earth,38
else,38
find,38
governments,38
little,38
act,37
trust,37
amongst,36
born,36
new,36
see,36
thereby,35
obedience,34
say,34
family,33
wherein,33
case,32
country,32
prerogative,32
care,31
ends,31
possessions,31
private,31
distinct,30
just,30
plain,30
subjects,30
whole,30
again,29
did,29
gives,29
many,29
most,29
peace,29
possession,29
since,29
son,29
subjection,29
whose,29
about,28
actions,28
gave,28
let,28
naturally,28
ought,28
place,28
several,28
civil,27
come,27
conqueror,27
contrary,27
does,27
fit,27
form,27
injury,27
our,27
supposed,27
taken,27
beginning,26
certain,26
compact,26
even,26
ever,26
execution,26
making,26
original,26
paternal,26
political,26
punish,26
said,26
according,25
answer,25
lawful,25
able,24
best,24
bound,24
due,24
established,24
found,24
itself,24
like,24
long,24
master,24
true,24
after,23
condition,23
exercise,23
members,23
number,23
positive,23
princes,23
puts,23
secure,23
thought,23
whereby,23
within,23
age,22
bounds,22
child,22
farther,22
goods,22
lives,22
need,22
parts,22
perhaps,22
properties,22
rules,22
two,22
capable,21
comes,21
her,21
here,21
kind,21
politic,21
remedy,21
value,21
violence,21
commonwealths,20
destroy,20
different,20
harm,20
least,20
money,20
respect,20
whilst,20
better,19
command,19
conquest,19
desire,19
enough,19
estate,19
govern,19
governors,19
human,19
impossible,19
less,19
magistrate,19
mother,19
now,19
obligation,19
placed,19
settled,19
shew,19
support,19
apt,18
creatures,18
equal,18
greater,18
indeed,18
majority,18
means,18
monarchy,18
safety,18
share,18
single,18
superior,18
unjust,18
unless,18
want,18
whatsoever,18
whenever,18
design,17
greatest,17
hand,17
history,17
ill,17
industry,17
member,17
often,17
pleases,17
preserve,17
received,17
rulers,17
submit,17
wife,17
agreement,16
alone,16
commonly,16
death,16
happen,16
honour,16
however,16
i.e,16
know,16
neither,16
present,16
provide,16
security,16
side,16
viz,16
whatever,16
why,16
during,15
evident,15
general,15
justice,15
liberties,15
lies,15
look,15
mutual,15
off,15
once,15
otherwise,15
require,15
secondly,15
supposing,15
tho,15
worth,15
allowed,14
benefit,14
business,14
change,14
continue,14
declared,14
difference,14
dissolved,14
doing,14
doth,14
doubt,14
duty,14
fathers,14
few,14
fundamental,14
heaven,14
inferior,14
interest,14
judges,14
lay,14
occasion,14
old,14
particular,14
properly,14
societies,14
subordinate,14
times,14
unto,14
1,13
acting,13
actually,13
aggressor,13
almost,13
begin,13
brought,13
cause,13
certainly,13
consider,13
constitution,13
danger,13
defence,13
direct,13
dispose,13
effect,13
estates,13
express,13
foreign,13
foundation,13
hence,13
hooker,13
jurisdiction,13
kingdom,13
kings,13
leave,13
live,13
living,13
name,13
order,13
powers,13
presently,13
ruler,13
tyranny,13
united,13
acts,12
adam,12
assistance,12
bring,12
ceases,12
conquered,12
controversies,12
defend,12
determine,12
easy,12
eccl,12
employ,12
equally,12
exposed,12
families,12
forfeit,12
forms,12
got,12
inhabitants,12
joined,12
measures,12
minority,12
mischief,12
necessarily,12
perfect,12
perpetual,12
please,12
pleasure,12
pol,12
question,12
resist,12
restraint,12
scarce,12
seldom,12
sometimes,12
standing,12
subdued,12
sword,12
used,12
whoever,12
allows,11
already,11
am,11
america,11
annexed,11
appointed,11
c,11
called,11
chosen,11
committed,11
conditions,11
consented,11
considered,11
dangerous,11
decide,11
doctrine,11
easily,11
education,11
endeavour,11
england,11
enjoy,11
enjoyment,11
enter,11
entered,11
equality,11
est,11
follow,11
freely,11
full,11
go,11
ground,11
innocent,11
known,11
lord,11
matter,11
measure,11
mistake,11
preserved,11
product,11
proper,11
protection,11
quod,11
rational,11
rebellion,11
remain,11
reparation,11
rights,11
separate,11
slavery,11
unite,11
useful,11
waste,11
whereof,11
you,11
young,11
above,10
acres,10
advantage,10
allow,10
ancestors,10
ask,10
become,10
betwixt,10
chief,10
choice,10
conclude,10
countries,10
designs,10
despotical,10
discretion,10
distinction,10
each,10
freemen,10
generally,10
husband,10
independent,10
injuries,10
join,10
keep,10
kill,10
l,10
laid,10
longer,10
notwithstanding,10
oppression,10
pains,10
pass,10
places,10
prejudice,10
prevent,10
promises,10
provided,10
quit,10
representatives,10
says,10
serve,10
shewed,10
submission,10
suppose,10
tacit,10
takes,10
tell,10
understanding,10
whereas,10
words,10
10,9
agreed,9
attempts,9
beasts,9
belonged,9
belonging,9
belongs,9
call,9
claim,9
commission,9
consequently,9
constituted,9
continued,9
conveniencies,9
damage,9
determination,9
employed,9
forced,9
former,9
forth,9
frame,9
get,9
heirs,9
hundred,9
inconveniencies,9
inheritance,9
israel,9
leaves,9
legislators,9
limited,9
love,9
mean,9
mentioned,9
monarch,9
nay,9
necessity,9
none,9
notice,9
obey,9
occasions,9
offender,9
opposed,9
penalties,9
plenty,9
possible,9
possibly,9
posterity,9
punishment,9
rather,9
reach,9
requires,9
resistance,9
room,9
short,9
slaves,9
something,9
soon,9
speak,9
strange,9
subsist,9
sufficient,9
terms,9
thereunto,9
thinks,9
thirdly,9
understood,9
uses,9
virtue,9
where-ever,9
wholly,9
wisdom,9
ages,8
ambition,8
appropriate,8
argument,8
assembly,8
authorized,8
avoid,8
barely,8
beyond,8
came,8
chuse,8
commands,8
concerning,8
conjugal,8
consists,8
cut,8
degree,8
destruction,8
empire,8
english,8
exercised,8
female,8
founded,8
guide,8
guilty,8
house,8
injured,8
last,8
male,8
monarchies,8
needs,8
non,8
obliged,8
offence,8
offences,8
ones,8
open,8
owe,8
privilege,8
privileges,8
procreation,8
prove,8
reaches,8
receive,8
redress,8
relief,8
remains,8
reverence,8
seems,8
sir,8
sure,8
thousand,8
tie,8
ties,8
truly,8
turn,8
usurpation,8
ut,8
voluntary,8
word,8
worse,8
wrong,8
account,7
acre,7
agree,7
alter,7
altered,7
barclay,7
bare,7
becomes,7
begun,7
besides,7
bread,7
captain,7
cease,7
consist,7
creature,7
crime,7
damages,7
day,7
de,7
direction,7
disorder,7
dissolution,7
down,7
evil,7
execute,7
extend,7
extent,7
feed,7
forfeited,7
fortunes,7
gets,7
grant,7
hard,7
head,7
help,7
hinder,7
hypothesis,7
ignorant,7
incorporated,7
increase,7
instances,7
justify,7
lasting,7
late,7
liable,7
looked,7
lost,7
magistrates,7
mind,7
myself,7
party,7
past,7
pay,7
perfectly,7
pleased,7
possessed,7
pretence,7
promulgated,7
punishing,7
restrain,7
robert,7
ruin,7
sacred,7
satisfaction,7
seek,7
she,7
small,7
soever,7
superiority,7
supply,7
taking,7
tells,7
ten,7
therein,7
uniting,7
weakness,7
wild,7
years,7
absolutely,6
accordingly,6
acorns,6
affairs,6
affection,6
anarchy,6
arise,6
atque,6
began,6
belong,6
bonds,6
breach,6
commanded,6
commanding,6
concern,6
conduct,6
conjunction,6
constitutions,6
contract,6
controversy,6
course,6
declaration,6
decrees,6
denied,6
depending,6
derive,6
descendants,6
discipline,6
discourse,6
enlarge,6
entering,6
examples,6
excluded,6
facto,6
fault,6
federative,6
forfeiture,6
gratitude,6
hurt,6
immediately,6
individual,6
infancy,6
injustice,6
intention,6
materials,6
mistakes,6
multitude,6
nation,6
nations,6
noxious,6
oblige,6
oppose,6
ordinarily,6
ordinary,6
peculiar,6
point,6
populo,6
practice,6
preserving,6
provisions,6
prudence,6
punished,6
purpose,6
putting,6
quite,6
really,6
reference,6
regem,6
regiment,6
required,6
resisted,6
resisting,6
return,6
revenge,6
rex,6
rise,6
se,6
sense,6
servant,6
sets,6
skill,6
strength,6
strong,6
subjected,6
submitted,6
successors,6
suffer,6
t,6
thereof,6
through,6
tied,6
trouble,6
tyrant,6
uncertain,6
understand,6
union,6
unlawful,6
whence,6
while,6
wise,6
work,6
16,5
ac,5
amiss,5
ancient,5
appropriated,5
armies,5
assembling,5
attempt,5
author,5
back,5
bear,5
became,5
begins,5
bind,5
break,5
brings,5
carries,5
cast,5
changed,5
charge,5
childhood,5
confess,5
conquering,5
conquerors,5
custom,5
defects,5
deny,5
deserves,5
designed,5
destructive,5
differences,5
directed,5
disorders,5
double,5
draw,5
duration,5
enclosure,5
enim,5
example,5
exempt,5
fact,5
fair,5
fear,5
fence,5
finds,5
fixed,5
food,5
france,5
fruits,5
future,5
giving,5
governed,5
governing,5
grants,5
grass,5
grown,5
health,5
herein,5
hezekiah,5
hope,5
improvement,5
inclination,5
inconveniences,5
inconvenient,5
indian,5
intelligible,5
intended,5
interests,5
introduced,5
invade,5
invaded,5
joint,5
judged,5
judgment,5
kept,5
kingdoms,5
knowing,5
large,5
lays,5
limits,5
lived,5
lying,5
maintained,5
maintenance,5
manifest,5
manner,5
met,5
miscarriages,5
monarchical,5
municipal,5
names,5
neighbour,5
next,5
nonage,5
nourishment,5
objection,5
obligations,5
off-spring,5
offenders,5
offspring,5
opinion,5
opportunity,5
opposition,5
ourselves,5
owing,5
passion,5
perish,5
perished,5
polities,5
poor,5
prey,5
principles,5
promote,5
proportion,5
proved,5
reasonable,5
regal,5
regulated,5
remove,5
rent,5
restore,5
retain,5
riches,5
safe,5
satisfied,5
saul,5
seize,5
service,5
shift,5
si,5
silver,5
sort,5
sovereignty,5
speaking,5
states,5
stronger,5
sustained,5
tacitly,5
temporary,5
temptation,5
tenderness,5
thief,5
thou,5
thoughts,5
throne,5
transfer,5
treated,5
truth,5
using,5
usually,5
vanquished,5
visible,5
wants,5
water,5
weak,5
weal,5
went,5
7,4
accountable,4
accustomed,4
acted,4
add,4
administration,4
advantages,4
affirm,4
agreeing,4
allegiance,4
along,4
amount,4
animals,4
antecedent,4
appointment,4
arts,4
assemblies,4
assisted,4
beast,4
blood,4
brethren,4
brother,4
caused,4
commoners,4
communities,4
compass,4
conceive,4
concerns,4
condemn,4
confusion,4
constitute,4
contest,4
convoking,4
corn,4
corruption,4
court,4
covetousness,4
criminal,4
cultivated,4
cum,4
customs,4
decision,4
derived,4
desires,4
destroyed,4
devised,4
dignity,4
disposal,4
dispute,4
disturb,4
divine,4
domestic,4
dominions,4
enemies,4
enjoyed,4
enslave,4
erect,4
erecting,4
exchange,4
executioner,4
exigencies,4
experience,4
extends,4
feel,4
fellow,4
fellowship,4
filmer,4
five,4
flattery,4
follows,4
foundations,4
fourthly,4
freeman,4
frequent,4
fully,4
gathered,4
gold,4
governor,4
happens,4
heir,4
hinders,4
hold,4
holds,4
home,4
id,4
iii,4
illegal,4
imagine,4
inconsistent,4
incorporate,4
incorporates,4
increased,4
indifferent,4
individuals,4
inforce,4
intrusted,4
invades,4
island,4
joins,4
judg,4
justly,4
keeping,4
killed,4
knew,4
lasts,4
lawfully,4
lead,4
lib,4
lie,4
likely,4
limitations,4
loose,4
maintain,4
meant,4
mighty,4
mine,4
mischiefs,4
moderate,4
moment,4
near,4
necessities,4
needed,4
neighbours,4
notion,4
nourish,4
numerous,4
oaths,4
observation,4
obvious,4
offered,4
originally,4
parental,4
periods,4
permission,4
permitted,4
petty,4
plainly,4
populum,4
populus,4
possess,4
prescribe,4
prescribes,4
produce,4
produced,4
profit,4
promise,4
providing,4
provision,4
quickly,4
quietly,4
reader,4
ready,4
reasons,4
rebels,4
regulate,4
regulating,4
relation,4
remit,4
reposed,4
representation,4
resume,4
rich,4
robbers,4
sanction,4
save,4
seem,4
seemed,4
senate,4
separated,4
servants,4
setting,4
shewing,4
shewn,4
sit,4
slave,4
sons,4
soul,4
species,4
spoil,4
spoiled,4
stand,4
stands,4
stock,4
subdue,4
succession,4
suffered,4
suffice,4
supported,4
supposition,4
tantum,4
taught,4
tendency,4
tending,4
territories,4
towards,4
transgressed,4
transgressing,4
transgression,4
tuition,4
universal,4
unreasonable,4
utmost,4
variety,4
ways,4
wealth,4
wherever,4
whosoever,4
willing,4
willingly,4
wish,4
woman,4
woods,4
workmanship,4
writ,4
year,4
100,3
"100,000",3
12,3
27,3
5,3
6,3
9,3
ab,3
ability,3
abraham,3
accidents,3
acknowledge,3
acknowledged,3
acquiesced,3
acquire,3
added,3
almighty,3
americans,3
ammonites,3
among,3
appealing,3
appear,3
apples,3
appoint,3
appointing,3
appropriating,3
armed,3
asked,3
assemble,3
assist,3
benefits,3
bestowed,3
binding,3
birth,3
bodies,3
breaking,3
captives,3
careful,3
carefully,3
carry,3
casus,3
chance,3
charged,3
circumstances,3
cities,3
city,3
claimed,3
clear,3
cloth,3
comfort,3
coming,3
commerce,3
commodities,3
communion,3
company,3
complain,3
concerned,3
concurred,3
confidence,3
conformable,3
conscience,3
consents,3
considering,3
constant,3
constantly,3
contend,3
contenders,3
content,3
continuation,3
contra,3
controul,3
convenient,3
convening,3
convinced,3
cost,3
counted,3
created,3
crown,3
cujus,3
david,3
decay,3
declares,3
declaring,3
defect,3
degrees,3
deliver,3
delivered,3
demands,3
depends,3
descended,3
destroying,3
die,3
differ,3
difficult,3
difficulty,3
disposed,3
disposing,3
dissolve,3
dissolving,3
doubts,3
draws,3
ease,3
elective,3
electors,3
enacted,3
enemy,3
engagement,3
engages,3
enjoys,3
enmity,3
erected,3
etiam,3
eum,3
evidence,3
evils,3
exceed,3
exclusive,3
excuses,3
executed,3
executor,3
expose,3
expresly,3
expressions,3
extemporary,3
fancy,3
father's,3
fatherhood,3
filled,3
flatterers,3
followers,3
following,3
foolish,3
forces,3
foreigners,3
foresee,3
fought,3
fountain,3
frailty,3
fruit,3
furnished,3
gathering,3
goes,3
going,3
granted,3
gross,3
grounded,3
grow,3
happiness,3
hardly,3
heap,3
hear,3
held,3
hereafter,3
hoc,3
honest,3
horse,3
humour,3
