ranked languages,root language,second language,word,word count
,,,the,8491
"German,Old Norse,Greek,Norse,Old French,French,Latin,Sanskrit",German,Old Norse,of,4597
"English,Germanic,German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",English,Germanic,and,3997
French,French,,a,3643
"Germanic,Old Norse,Norse,Old French,French,English,Greek,Latin,Sanskrit,German",Germanic,Old Norse,to,2797
French,French,,in,2775
"German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit,Germanic",German,Old Norse,he,2489
"Greek,Old French,French",Greek,Old French,his,1958
,,,i,1632
"Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",Old Norse,Old French,that,1605
,,,s,1539
"Old French,French,Greek,Latin",Old French,French,it,1432
"English,Germanic,Old Norse,Latin,Old French,French,Greek,Norse,Sanskrit,German",English,Germanic,with,1292
"Sanskrit,Norse,Latin,Old French,French,Greek,Old Norse",Sanskrit,Norse,on,1216
"Germanic,Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse",Germanic,Latin,was,1216
"Germanic,Greek,German,Old French,French,Latin,Sanskrit,Old Norse,Norse",Germanic,Greek,you,1150
"Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",Old Norse,Old French,for,1090
,,,said,991
,,,her,928
"Old French,French,Greek",Old French,French,him,886
"Norse,Old Norse,Sanskrit,Latin,Greek,Old French,French,German",Norse,Old Norse,is,843
,,,all,755
"Norse,Old Norse,Greek,Sanskrit,Old French,French,Latin,German",Norse,Old Norse,at,754
"Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",Old Norse,Old French,by,723
"Latin,Greek,French,Old French",Latin,Greek,she,665
"French,Old French,Greek",French,Old French,they,646
"Sanskrit,Latin,Old French,French,Greek",Sanskrit,Latin,from,630
"Greek,Old French,French",Greek,Old French,as,627
"German,Latin,Old Norse,Old French,French,Greek,Sanskrit,Norse",German,Latin,what,570
French,French,,bloom,555
,,,mr,547
"Old English,American English,Germanic,Greek,German,Old French,French,English,Sanskrit,Latin,Old Norse,Norse,Welsh",Old English,American English,out,547
"Germanic,English,German,Sanskrit,Old Norse,Old French,French,Latin,Greek,Norse",Germanic,English,up,524
"Sanskrit,Norse,French,Old French,Latin,Greek",Sanskrit,Norse,or,523
"English,American English,Germanic,German,Old Norse,Old French,French,Welsh,Old English,Latin,Greek,Norse,Sanskrit,Irish",English,American English,me,522
,,,not,516
"Norse,Latin,Germanic,Greek,Old French,French,Old Norse,German,Sanskrit",Norse,Latin,be,511
,,,had,496
,,,there,483
"French,Old French",French,Old French,them,431
"Norse,Old Norse,Sanskrit,Old French,French,Greek,Latin",Norse,Old Norse,like,424
,,,my,419
"American English,Old Norse,German,Greek,Norse,Old French,French,English,Latin,Sanskrit,Germanic",American English,Old Norse,one,416
"French,Old French",French,Old French,their,414
"Old Norse,Greek,Norse,Old French,German,French,Latin,Sanskrit",Old Norse,Greek,have,396
,,,n't,391
,,,an,387
,,,but,377
,,,stephen,373
,,,says,370
"Norse,Old French,French,Greek,Latin,Sanskrit",Norse,Old French,do,369
"Norse,Old French,French,Latin,Greek,Sanskrit",Norse,Old French,then,359
,,,no,349
"Germanic,Old Norse,Norse,Old French,French,Greek,German,Sanskrit,Latin",Germanic,Old Norse,so,339
"Old French,French",Old French,French,did,313
"Old French,French",Old French,French,about,306
"Latin,Norse,Old French,French,Greek,Sanskrit,Old Norse",Latin,Norse,if,300
"English,Old Norse,German,Norse,Sanskrit,Old French,French,Germanic,Greek,Latin",English,Old Norse,old,299
"German,Germanic,Old Norse,Greek,Norse,Old French,French,American English,Sanskrit,Latin,English",German,Germanic,now,291
"German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",German,Old Norse,when,291
"Old French,French",Old French,French,down,286
"Old French,French",Old French,French,are,280
French,French,,were,276
"Old French,French",Old French,French,too,274
,,,your,273
"Germanic,English,German,Latin,Old French,French,Greek,Sanskrit,Old Norse,Norse",Germanic,English,see,265
"Sanskrit,Norse,Old French,French,Greek,Latin",Sanskrit,Norse,over,262
"Latin,Old French,Greek,French",Latin,Old French,after,254
"Welsh,English,Old Norse,Norse,Sanskrit,Old French,French,Old English,American English,Greek,Latin,Germanic,German",Welsh,English,man,254
"Germanic,English,German,Sanskrit,Old Norse,Old French,French,Greek,Latin,Norse,American English",Germanic,English,two,252
,,,would,248
"Sanskrit,German,Old French,French,Greek,Latin,Old Norse,Norse",Sanskrit,German,this,247
"German,Old Norse,Norse,Old French,French,Old English,American English,Greek,Latin,Sanskrit,English,Germanic",German,Old Norse,who,239
"German,Latin,Old Norse,Old French,French,Greek,Sanskrit,Norse,Germanic",German,Latin,we,237
"Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse",Latin,German,which,233
French,French,,off,228
French,French,,time,220
French,French,,could,214
French,French,,back,208
,,,its,205
"Germanic,English,German,Latin,Old Norse,Old French,French,Old English,Greek,Sanskrit,Norse,American English",Germanic,English,will,190
"Germanic,Old Norse,Norse,German,Greek,Old French,French,Sanskrit,Latin",Germanic,Old Norse,know,189
,,,father,188
"English,Old French,German,Greek,French,Sanskrit,Latin,Old Norse,Norse,Germanic,American English",English,Old French,street,188
"Old French,French",Old French,French,into,187
,,,eyes,185
"English,Germanic,Sanskrit,German,Old French,French,Greek,Latin,Old Norse,Norse",English,Germanic,other,184
French,French,,good,181
,,,here,181
"Sanskrit,Old French,French,Greek,Latin",Sanskrit,Old French,little,181
French,French,,those,180
"American English,Latin,German,Old French,French,English,Germanic,Greek,Sanskrit,Old Norse,Norse",American English,Latin,more,179
"Germanic,Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse",Germanic,Latin,where,179
"Old French,French",Old French,French,yes,177
"Norse,Sanskrit,Old French,Old Norse,French,Greek,Latin",Norse,Sanskrit,some,173
,,,asked,169
,,,sir,168
,,,o,166
"Sanskrit,Old Norse,Old French,French,Greek,Norse,Latin",Sanskrit,Old Norse,way,165
"Old French,Latin,French,Greek",Old French,Latin,again,164
"Germanic,English,German,Old Norse,Old French,French,Greek,Norse,Sanskrit,Latin",Germanic,English,day,164
"Greek,Latin,French,Old French,Old Norse,Sanskrit,German,Norse",Greek,Latin,get,163
,,,first,160
"Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",Old Norse,Old French,how,160
,,,round,159
"Latin,German,Old French,American English,French,English,Greek,Sanskrit,Old Norse,Norse,Germanic",Latin,German,say,158
"Old Norse,Norse,Old French,French,Greek,Latin,Sanskrit",Old Norse,Norse,hand,155
,,,has,154
,,,j,154
"German,Germanic,Old Norse,Latin,Norse,Welsh,French,Old English,American English,Old French,Greek,Sanskrit,English",German,Germanic,us,154
,,,—i,153
"American English,Germanic,English,Norse,Sanskrit,Old French,Old English,French,Latin,Greek,German,Old Norse",American English,Germanic,long,151
"American English,German,Latin,Old Norse,Old French,French,English,Greek,Sanskrit,Norse,Germanic",American English,German,well,150
"Latin,Greek,Old French,French",Latin,Greek,only,149
"Germanic,English,German,Old Norse,Old French,French,Old English,American English,Latin,Greek,Norse,Sanskrit",Germanic,English,right,146
,,,through,146
French,French,,just,145
"Sanskrit,Old French,French,Greek,Latin,Norse",Sanskrit,Old French,must,145
"English,American English,Germanic,German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",English,American English,come,144
,,,face,143
,,,dedalus,141
"English,American English,Germanic,Old Norse,Norse,Old French,French,Greek,Latin,Sanskrit,German",English,American English,god,140
"Greek,Sanskrit,Norse,French,Latin,Old French",Greek,Sanskrit,never,140
,,,before,139
,,,john,139
"American English,Germanic,German,Old Norse,Old French,English,French,Greek,Latin,Norse,Sanskrit",American English,Germanic,go,138
"German,Germanic,American English,Old Norse,Latin,Old French,French,Irish,English,Greek,Sanskrit,Norse,Welsh,Old English",German,Germanic,night,137
,,,came,135
"Greek,Sanskrit,Old French,French,Latin",Greek,Sanskrit,can,132
"Old Norse,Norse,Old French,French,Greek,Latin,Sanskrit",Old Norse,Norse,let,130
,,,ll,130
,,,under,130
French,French,,himself,129
,,,m,126
,,,mulligan,126
"English,American English,Germanic,German,Sanskrit,Old French,French,Irish,Greek,Latin,Old Norse,Norse,Welsh,Old English",English,American English,name,125
French,French,,poor,125
,,,went,125
,,,joe,123
"Sanskrit,Old French,French,Latin,Greek",Sanskrit,Old French,put,123
"Latin,Old French,French,Greek,Norse,Sanskrit",Latin,Old French,still,120
,,,going,119
French,French,,head,118
"German,English,Old Norse,Norse,Old French,French,Greek,Sanskrit,Latin,Germanic",German,English,thing,118
"French,Old French",French,Old French,woman,117
"English,Germanic,Sanskrit,German,Old French,French,Irish,Welsh,Greek,Latin,Old Norse,Norse,Old English,American English",English,Germanic,young,115
"Old French,French",Old French,French,away,114
"Norse,Old French,French,Greek,Sanskrit,Latin",Norse,Old French,look,114
"French,Old French,Norse,Latin,Old Norse,German,Sanskrit,English,Germanic,Greek",French,Old French,very,114
"Sanskrit,Latin,Old French,French,Greek",Sanskrit,Latin,why,114
"Greek,Norse,Old French,French,Latin,Sanskrit",Greek,Norse,house,110
"Norse,Sanskrit,Old French,French,Greek,Latin",Norse,Sanskrit,our,110
,,,voice,110
"Latin,Old French,French,Greek",Latin,Old French,last,109
French,French,,because,108
French,French,,something,108
,,,been,107
,,,got,106
"Old French,French",Old French,French,made,105
"Old Norse,Greek,Norse,Old French,French,Sanskrit,Latin,German",Old Norse,Greek,saw,105
"Greek,Sanskrit,Old French,French,Latin",Greek,Sanskrit,life,103
,,,mrs,103
"German,Germanic,Old Norse,Old French,Sanskrit,Greek,French,English,Latin,Norse,American English",German,Germanic,same,103
"Old Irish,English,American English,Germanic,German,Old Norse,Old French,French,Irish,Welsh,Greek,Latin,Norse,Sanskrit,Old English",Old Irish,English,three,102
,,,turned,102
"Old Norse,Norse,Old French,French,Greek,Sanskrit,Latin",Old Norse,Norse,give,101
"Latin,Old Norse,Old French,French,Greek,Sanskrit,Norse",Latin,Old Norse,any,100
"Germanic,Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse,American English,English",Germanic,Latin,tell,100
,,,took,100
"Old Norse,German,Germanic,Latin,Norse,Old French,French,Greek,Sanskrit,English",Old Norse,German,door,99
,,,buck,98
"Old French,French",Old French,French,make,98
"Norse,Sanskrit,Old French,French,Latin,Greek",Norse,Sanskrit,think,98
French,French,,always,97
