word,word count,root word,root language,second language,ranked languages
the,8527,the,Old English,Sanskrit,Old English;Sanskrit;Greek;Irish
of,4612,of,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Latin;Old French
and,4013,and,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Latin;Greek
a,3653,,,,
to,2809,to,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Latin;Slavonic;Greek;Old Irish
in,2785,in,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Old Norse;Greek;Latin;Old Irish;Welsh;Slavonic;American English
he,2494,he,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Greek;Slavonic
his,1963,his,Old English,Germanic,Old English;Germanic;German
i,1640,,,,
that,1608,that,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
s,1552,,,,
it,1436,it,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch
with,1297,with,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Middle Dutch;Dutch;Sanskrit;Slavonic;Latin;French
on,1223,on,Old English,Germanic,Old English;Germanic;Dutch;German;Greek;Latin;Slavonic
was,1220,was,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Sanskrit
you,1164,you,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;French
for,1107,for,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
said,991,,,,
her,930,her,Old English,Old Frisian,Old English;Old Frisian;Middle Dutch;Dutch;German
him,888,him,Old English,German,Old English;German;Dutch
is,846,is,Old English,Germanic,Old English;Germanic;German;Old Norse;Sanskrit;Greek;Latin;Slavonic
all,758,all,Old English,Germanic,Old English;Germanic;Old Frisian;German;Old Norse
at,754,at,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German;Latin;Sanskrit;Dutch
by,724,by,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
she,667,she,Old English,Dutch,Old English;Dutch;German;Greek
they,647,they,Old Norse,Germanic,Old Norse;Germanic;Old English
from,631,from,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse
as,630,as,Old English,German,Old English;German;Latin
what,571,what,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Latin
bloom,557,bloom,Old English,,Old English
out,549,out,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Sanskrit;Old Irish;Latin;Greek;Russian
mr,547,,,,
up,526,up,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Old Norse;Dutch;German;Sanskrit;Greek;Latin
me,523,me,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Sanskrit;Greek;Latin;Old Irish;Welsh;Slavonic
or,523,or,Old English,Old Frisian,Old English;Old Frisian;Middle Dutch;Dutch;Old Norse;German
not,516,not,English,,English
be,511,be,Old English,Germanic,Old English;Germanic;German;Latin;Slavonic;Greek;Old Irish;Russian;Sanskrit
had,496,,,,
there,486,there,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Middle Dutch;Dutch;Old Norse;Sanskrit
them,431,them,Old Norse,Old English,Old Norse;Old English
one,426,one,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Greek;Latin;Slavonic;Old Irish;French
like,424,like,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;German;Latin;Norse
my,421,,,,
their,414,their,Old Norse,Old English,Old Norse;Old English
have,396,have,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;German;Latin;American English
n't,393,,,,
an,387,an,Old English,French,Old English;French;German
but,378,but,Old English,Germanic,Old English;Germanic
stephen,375,stephen,Latin,Greek,Latin;Greek;Old English
do,372,do,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German
says,370,,,,
then,359,then,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Dutch;German
no,350,no,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German
so,339,so,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Old Frisian;Greek
did,314,did,Old English,Germanic,Old English;Germanic
about,306,about,Old English,American English,Old English;American English
if,301,if,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;German;Dutch
old,301,old,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Old Norse;Greek;Latin;Old Irish;French
now,293,now,Old English,Germanic,Old English;Germanic;Old Norse;Dutch;Old Frisian;German;Sanskrit;Greek;Latin;Slavonic;Old Irish
when,291,when,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Latin
down,288,down,Old English,American English,Old English;American English
are,281,are,Old English,Old Norse,Old English;Old Norse
were,278,were,Old English,,Old English
your,275,your,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;German
too,274,too,Old English,German,Old English;German
see,267,see,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Frisian;Middle Dutch;Dutch;Old Norse;Greek;Latin
over,262,over,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;German
after,254,after,Old English,Old Norse,Old English;Old Norse;German;Greek
man,254,man,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;German;Old Norse;Sanskrit;Slavonic;Russian;Latin;Old Irish;Welsh;Greek
two,253,two,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Dutch;German;Sanskrit;Greek;Latin;Slavonic
would,249,would,Old English,,Old English
this,248,this,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German
who,240,who,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Sanskrit;Latin;Slavonic;Russian;Old Irish;Welsh
we,237,we,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Slavonic
which,233,which,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German
off,228,off,Old English,,Old English
time,221,,,,
could,214,could,Old English,,Old English
back,209,back,English,,English
its,205,its,English,,English
know,192,know,Old English,Germanic,Old English;Germanic;German;Slavonic;Russian;Latin;Greek;Sanskrit;French
will,190,will,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Greek;Latin;Slavonic;Welsh
father,188,,,,
street,188,street,Old English,Latin,Old English;Latin;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Spanish;Old French;Italian
into,187,into,Old English,American English,Old English;American English
eyes,185,eye,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Greek;Slavonic;Latin
other,184,other,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Latin
here,183,here,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Middle Dutch;Dutch;German
little,182,little,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;German
good,181,good,Old English,,Old English
those,180,those,Old English,,Old English
where,180,where,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Latin
more,179,more,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Old Irish;Welsh;Greek
yes,177,yes,Old English,American English,Old English;American English
some,174,some,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Old Norse;American English
asked,169,ask,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Slavonic
o,168,,,,
sir,168,,,,
us,166,us,Old English,Old Saxon,Old English;Old Saxon;Old Frisian;Old Norse;Dutch;German;Sanskrit;Greek;Latin;Slavonic;Old Irish;Welsh;Germanic
day,165,day,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;Old Frisian;German;Old Norse;Latin;Sanskrit
way,165,way,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;Old Norse;Old Frisian;German
again,164,again,Old English,Old Norse,Old English;Old Norse;Old Frisian;German
get,164,get,Old Norse,Germanic,Old Norse;Germanic;Greek;Latin;Welsh;Slavonic;Old English;Dutch
how,161,how,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
round,161,,,,
first,160,first,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse;Old Frisian;Middle Dutch;Dutch
say,159,say,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Slavonic;Old Irish;American English
hand,155,hand,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse
has,154,,,,
j,154,,,,
—i,153,,,,
long,152,long,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;Old Norse;Middle Dutch;Dutch;Latin;Sanskrit;Greek;American English
well,150,well,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Slavonic;Welsh;Latin
only,149,only,Old English,German,Old English;German;Latin;Greek
right,146,right,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Greek;Latin;Old Irish;Welsh
through,146,through,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Latin;Old Irish;Welsh;American English
come,145,come,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Sanskrit;Greek;Latin
just,145,just,Old French,,Old French
must,145,must,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Dutch
face,143,,,,
god,143,god,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse;Slavonic;Sanskrit;Greek;Latin
dedalus,142,,,,
never,141,never,Old English,Italian,Old English;Italian;French;Spanish;Latin;American English
before,139,before,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German
john,139,,,,
go,138,go,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Greek;American English;French
night,138,night,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Frisian;Dutch;Old Norse;Greek;Latin;Old Irish;Sanskrit;Slavonic;Russian;Welsh
came,135,,,,
ll,134,,,,
can,132,can,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German
let,130,let,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Latin
under,130,under,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Old Norse;Sanskrit;Latin
himself,129,himself,Old English,,Old English
m,128,,,,
poor,127,poor,Latin,,Latin
mulligan,126,mulligan,Old Irish,,Old Irish
name,125,name,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Middle Dutch;Dutch;Old Norse;Sanskrit;Greek;Latin;Slavonic;Russian;Old Irish
went,125,,,,
joe,123,,,,
put,123,put,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;Old Norse
thing,121,thing,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Old Norse;French;Spanish;Latin
going,120,,,,
still,120,still,Old English,Germanic,Old English;Germanic;Old Frisian;German;Middle Dutch;Dutch
head,118,head,Old English,,Old English
woman,117,woman,Old English,Dutch,Old English;Dutch
young,115,young,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Latin;Slavonic;Russian;Old Irish;Welsh
away,114,away,Old English,American English,Old English;American English
look,114,look,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German
very,114,very,Old French,Latin,Old French;Latin;Italian;Old English;Old Dutch;German;Welsh;Old Irish;Slavonic;Russian
why,114,why,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Greek
house,113,house,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German
our,112,our,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Latin
voice,110,,,,
last,109,last,Old English,Old Frisian,Old English;Old Frisian;Dutch;German
because,108,because,French,,French
something,108,something,Old English,,Old English
been,107,,,,
got,107,,,,
made,105,made,Old English,American English,Old English;American English
saw,105,saw,Old English,Germanic,Old English;Germanic;Old Norse;Middle Dutch;Dutch;German;Latin;Russian
give,103,give,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Old Norse
life,103,life,Old English,Germanic,Old English;Germanic;Old Norse;Dutch;German
mrs,103,,,,
same,103,same,Old English,Old Norse,Old English;Old Norse;Germanic;Old Saxon;German;Dutch;Sanskrit;Greek;Latin;Old Irish;Slavonic
three,103,three,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Sanskrit;Greek;Latin;Slavonic;Irish;Welsh;French
turned,103,turn,Old English,Old French,Old English;Old French;Latin;Greek;American English
tell,102,tell,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;French;Italian;Spanish
any,100,any,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German
took,100,took,Old English,,Old English
door,99,door,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;German;Greek;Latin;Sanskrit;Russian
think,99,think,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;Old Norse
