word,word count
the,1440
a,476
to,454
of,420
and,414
he,373
his,315
in,254
it,252
”,248
was,228
on,172
you,170
reinhart,169
him,153
cole,142
at,134
had,126
for,124
sherikov,117
up,114
from,112
out,108
with,100
as,97
down,89
that,87
all,86
be,84
i,84
into,84
over,81
is,79
were,78
have,75
man,71
they,70
this,70
them,65
but,62
an,61
back,59
can,58
no,58
toward,57
we,55
around,53
been,52
do,52
said,51
by,49
not,48
there,46
could,45
dixon,43
machines,43
one,43
work,42
get,41
off,41
are,40
way,40
“i,40
came,39
two,39
see,38
slowly,38
time,38
away,37
war,37
what,37
some,35
will,35
door,34
here,34
about,33
any,33
cart,33
eyes,33
like,33
police,33
“what,33
has,32
nothing,32
then,32
through,32
me,31
our,31
“you,31
along,30
got,30
your,30
box,29
sherikov’s,29
want,29
council,28
go,28
if,28
long,28
men,28
surface,28
face,27
going,27
its,27
side,27
their,27
duffe,26
few,26
icarus,26
margaret,26
right,26
“the,26
it’s,25
steven,25
srb,24
big,23
little,23
more,23
odds,23
security,23
sky,23
us,23
again,22
body,22
can’t,22
don’t,22
ground,22
know,22
moment,22
now,22
screen,22
something,22
still,22
too,22
would,22
across,21
moved,21
reached,21
ready,21
room,21
when,21
after,20
anything,20
attack,20
behind,20
black,20
feet,20
made,20
ship,20
turned,20
variable,20
whole,20
before,19
cars,19
centaurus,19
commissioner,19
fire,19
great,19
kind,19
lab,19
light,19
or,19
under,19
bomb,18
centauran,18
come,18
hand,18
it.”,18
i’ll,18
past,18
terra,18
against,17
guards,17
head,17
own,17
so,17
soon,17
suddenly,17
air,16
data,16
end,16
gray,16
hands,16
looked,16
moving,16
new,16
nodded,16
only,16
quickly,16
reinhart’s,16
speed,16
things,16
wiring,16
already,15
coming,15
control,15
everything,15
first,15
globe,15
himself,15
how,15
must,15
onto,15
open,15
rapidly,15
saw,15
wall,15
we’re,15
where,15
“i’ll,15
began,14
corridor,14
did,14
each,14
far,14
fix,14
kaplan,14
make,14
metal,14
mountains,14
opened,14
plate,14
ships,14
sides,14
stood,14
turret,14
understand,14
vidscreen,14
waiting,14
you’re,14
ahead,13
brought,13
bubble,13
car,13
day,13
earl,13
fell,13
gun,13
guns,13
held,13
he’s,13
horses,13
last,13
my,13
order,13
sat,13
she,13
thing,13
thomas,13
trying,13
without,13
“we,13
almost,12
appeared,12
below,12
days,12
demanded,12
happened,12
later,12
line,12
minutes,12
murmured,12
once,12
park,12
range,12
silent,12
small,12
take,12
years,12
“then,12
“what’s,12
above,11
breath,11
carefully,11
closed,11
deep,11
didn’t,11
entered,11
faded,11
floor,11
found,11
gone,11
good,11
her,11
hurried,11
look,11
lost,11
military,11
office,11
other,11
peter,11
picked,11
pushed,11
should,11
snapped,11
sun,11
than,11
that’s,11
tools,11
vast,11
won’t,11
you’ll,11
“he,11
“this,11
abruptly,10
bent,10
beyond,10
broke,10
children,10
complete,10
done,10
even,10
features,10
finished,10
fleet,10
gasped,10
gave,10
half,10
hear,10
i’m,10
much,10
proxima,10
robot,10
running,10
sally,10
second,10
set,10
units,10
until,10
“it’s,10
“i’m,10
“why,10
called,9
carried,9
defense,9
destroyed,9
entrance,9
escaped,9
figures,9
finally,9
find,9
food,9
generator,9
hall,9
