,ranked languages,root language,second language,word,word count
0,,,,the,4078
1,"German,Old Norse,Norse,Sanskrit,Greek,Latin,French",German,Old Norse,and,2232
2,"German,Old Norse,Sanskrit,Latin,Greek,Norse,French",German,Old Norse,of,1865
3,"Old Norse,Sanskrit,Greek,Latin,German,French,Norse",Old Norse,Sanskrit,to,1752
4,"Sanskrit,Greek,Latin,French,Norse",Sanskrit,Greek,he,1709
5,French,French,,a,1581
6,"Old Norse,Sanskrit,Latin,Greek,Norse,French",Old Norse,Sanskrit,was,1171
7,"Greek,French",Greek,French,his,1159
8,French,French,,in,1053
9,,,,had,815
10,,,,her,793
11,,,,i,781
12,,,,said,755
13,"Sanskrit,Latin,Greek,French",Sanskrit,Latin,she,713
14,"Greek,Latin,French",Greek,Latin,that,712
15,"Greek,Latin,French",Greek,Latin,it,646
16,,,,mr,576
17,,,,s,561
18,"Greek,Latin,French",Greek,Latin,for,508
19,"Norse,Old Norse,Sanskrit,Latin,Greek,German,French",Norse,Old Norse,at,495
20,"Greek,Latin,French",Greek,Latin,him,494
21,"Welsh,Dutch,Old Norse,Sanskrit,Latin,Greek,Norse,French,German",Welsh,Dutch,with,488
22,"Sanskrit,Norse,Greek,Latin,French,Old Norse",Sanskrit,Norse,on,457
23,"Old Norse,Sanskrit,Latin,Greek,Norse,French",Old Norse,Sanskrit,you,456
24,"Latin,Greek,French",Latin,Greek,as,372
25,,,,but,351
26,,,,not,289
27,"Greek,French,Latin,Sanskrit",Greek,French,they,286
28,French,French,,were,272
29,"Sanskrit,Greek,Latin,French",Sanskrit,Greek,when,266
30,,,,all,258
31,"Norse,Latin,Dutch,Greek,Old Norse,French,German,Sanskrit",Norse,Latin,be,247
32,,,,would,247
33,"Sanskrit,Latin,Greek,French",Sanskrit,Latin,from,238
34,"Russian,Welsh,Old Norse,Norse,Sanskrit,Greek,Latin,Old English,Irish,French,Dutch,German",Russian,Welsh,man,231
35,"Welsh,Dutch,Old Norse,Sanskrit,Latin,Greek,Norse,German,French,Irish",Welsh,Dutch,out,231
36,"Greek,Latin,French",Greek,Latin,by,218
37,,,,n't,214
38,"German,Dutch,Old Norse,Sanskrit,Latin,Greek,Norse,French",German,Dutch,up,214
39,"Greek,Latin,French",Greek,Latin,little,210
40,"Irish,Old Norse,German,Sanskrit,Latin,Greek,Norse,Welsh,French,Dutch",Irish,Old Norse,one,210
41,"Old Norse,Sanskrit,Latin,Greek,Norse,French",Old Norse,Sanskrit,what,204
42,"Old Norse,German,Norse,Sanskrit,Latin,Greek,French,Dutch",Old Norse,German,is,196
43,"Old Norse,Sanskrit,Latin,Greek,Norse,French,German",Old Norse,Sanskrit,we,196
44,"Sanskrit,Latin,Greek,Norse,French",Sanskrit,Latin,which,196
45,,,,there,190
46,,,,an,187
47,,,,my,181
48,"German,Dutch,Old Norse,Norse,Sanskrit,Greek,Latin,Irish,Welsh,French,Old English",German,Dutch,me,180
49,"Greek,Latin,French",Greek,Latin,then,180
50,"Norse,Sanskrit,Latin,Greek,French,Old Norse",Norse,Sanskrit,have,177
51,"Old Norse,German,Norse,Sanskrit,Greek,Latin,French",Old Norse,German,so,172
52,"Greek,French,Latin",Greek,French,them,171
53,,,,no,168
54,"Sanskrit,Latin,Norse,Greek,French",Sanskrit,Latin,or,158
55,,,,gabriel,157
56,"Norse,Sanskrit,Greek,Latin,Welsh,Dutch,French,German,Old Norse",Norse,Sanskrit,who,153
57,"Greek,French",Greek,French,did,152
58,French,French,,could,151
59,"Greek,French,Latin",Greek,French,their,148
60,"French,Greek",French,Greek,into,145
61,"Welsh,Old Norse,German,Norse,Sanskrit,Greek,Latin,Dutch,French",Welsh,Old Norse,old,145
62,,,,been,144
63,"Greek,Latin,French",Greek,Latin,do,143
64,"Sanskrit,Latin,Greek,Norse,French",Sanskrit,Latin,if,138
65,"French,Greek",French,Greek,down,136
66,"Sanskrit,Latin,Greek,French,Norse",Sanskrit,Latin,some,136
67,"French,Greek,Norse,Sanskrit,Old Norse,German,Latin,Welsh,Dutch",French,Greek,very,132
68,"Sanskrit,Norse,Greek,Latin,French",Sanskrit,Norse,like,131
69,"German,Dutch,Old Norse,Sanskrit,Latin,Greek,Norse,Irish,French,Welsh",German,Dutch,now,131
70,"French,Greek",French,Greek,about,129
71,,,,asked,127
72,"French,Latin,Greek,Norse,Sanskrit,Irish,Welsh,Old Norse,Old English,Dutch,German",French,Latin,aunt,126
73,"Sanskrit,Latin,Greek,Norse,French",Sanskrit,Latin,this,125
74,"German,Dutch,Old Norse,Sanskrit,Latin,Greek,Norse,Welsh,French,Irish",German,Dutch,two,118
75,,,,mrs,117
76,"Norse,Latin,Greek,Sanskrit,French",Norse,Latin,after,115
77,"Latin,Greek,Sanskrit,French",Latin,Greek,again,115
78,French,French,,time,114
79,"Welsh,Old Norse,Sanskrit,Latin,Greek,Norse,Dutch,French,German",Welsh,Old Norse,well,114
80,"Dutch,Old Norse,Norse,German,Greek,French,Sanskrit,Latin",Dutch,Old Norse,know,113
81,,,,went,113
82,"German,Old Norse,Sanskrit,Latin,Greek,Norse,Old English,Irish,French,Welsh,Dutch",German,Old Norse,young,111
83,,,,face,109
84,"Sanskrit,Latin,Greek,French",Sanskrit,Latin,over,108
85,French,French,,good,102
86,,,,before,101
87,,,,came,101
88,,,,began,100
89,French,French,,miss,99
90,,,,eyes,96
91,"German,Norse,Sanskrit,Greek,Latin,French,Old Norse",German,Norse,go,96
92,,,,o,96
93,,,,back,92
94,French,French,,head,90
95,"French,Greek",French,Greek,made,90
96,"Old Norse,Sanskrit,Latin,Greek,Norse,German,French,Welsh,Dutch",Old Norse,Sanskrit,room,88
97,"Old Norse,Greek,Latin,Sanskrit,French,Norse",Old Norse,Greek,street,86
98,"Old Norse,German,Norse,Sanskrit,Greek,Latin,French",Old Norse,German,see,82
99,"Sanskrit,Latin,Greek,Norse,French",Sanskrit,Latin,life,80
100,,,,stood,79
101,"German,Dutch,Old Norse,Norse,Sanskrit,Greek,Latin,French",German,Dutch,come,78
102,"Greek,Latin,French",Greek,Latin,how,78
103,"Greek,French",Greek,French,too,78
104,"Sanskrit,Latin,Greek,Norse,French",Sanskrit,Latin,house,77
105,"German,Dutch,Old Norse,Latin,Greek,Norse,Sanskrit,Old English,Irish,French,Welsh",German,Dutch,us,77
106,French,French,,himself,76
107,,,,kate,75
108,,,,ll,75
109,"Old Norse,German,Welsh,Norse,Sanskrit,Greek,Latin,Russian,Dutch,French,Old English,Irish",Old Norse,German,night,75
