Unnamed: 0,ranked languages,root language,second language,word,word count
0,,,,the,13609
1,,,,i,13187
2,"English,Germanic,German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",English,Germanic,and,11987
3,"Germanic,Old Norse,Norse,Old French,French,English,Greek,Latin,Sanskrit,German",Germanic,Old Norse,to,10375
4,"German,Old Norse,Greek,Norse,Old French,French,Latin,Sanskrit",German,Old Norse,of,8633
5,French,French,,a,7781
6,French,French,,in,6152
7,"Germanic,Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse",Germanic,Latin,was,5310
8,"Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",Old Norse,Old French,that,5299
9,,,,my,5170
10,"Old French,French,Greek,Latin",Old French,French,it,4948
11,,,,her,3831
12,"Germanic,Greek,German,Old French,French,Latin,Sanskrit,Old Norse,Norse",Germanic,Greek,you,3620
13,"German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit,Germanic",German,Old Norse,he,3590
14,"English,American English,Germanic,German,Old Norse,Old French,French,Welsh,Old English,Latin,Greek,Norse,Sanskrit,Irish",English,American English,me,3560
15,"English,Germanic,Old Norse,Latin,Old French,French,Greek,Norse,Sanskrit,German",English,Germanic,with,3344
16,"Greek,Old French,French",Greek,Old French,as,3154
17,,,,had,3075
18,,,,said,2941
19,"Greek,Old French,French",Greek,Old French,his,2924
20,"Latin,Greek,French,Old French",Latin,Greek,she,2739
21,"Norse,Old Norse,Greek,Sanskrit,Old French,French,Latin,German",Norse,Old Norse,at,2636
22,"Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",Old Norse,Old French,for,2558
23,,,,mr,2465
24,"Old Norse,Greek,Norse,Old French,German,French,Latin,Sanskrit",Old Norse,Greek,have,2407
25,"Sanskrit,Norse,Latin,Old French,French,Greek,Old Norse",Sanskrit,Norse,on,2316
26,,,,but,2140
27,,,,not,2058
28,"Norse,Latin,Germanic,Greek,Old French,French,Old Norse,German,Sanskrit",Norse,Latin,be,2003
29,,,,s,1992
30,"Norse,Old Norse,Sanskrit,Latin,Greek,Old French,French,German",Norse,Old Norse,is,1751
31,"Old French,French,Greek",Old French,French,him,1686
32,"Germanic,Old Norse,Norse,Old French,French,Greek,German,Sanskrit,Latin",Germanic,Old Norse,so,1686
33,"German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",German,Old Norse,when,1645
34,"Latin,Norse,Old French,French,Greek,Sanskrit,Old Norse",Latin,Norse,if,1523
35,,,,all,1502
36,"German,Latin,Old Norse,Old French,French,Greek,Sanskrit,Norse,Germanic",German,Latin,we,1497
37,"Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",Old Norse,Old French,by,1396
38,"Sanskrit,German,Old French,French,Greek,Latin,Old Norse,Norse",Sanskrit,German,this,1390
39,"Norse,Old French,French,Greek,Latin,Sanskrit",Norse,Old French,do,1366
40,"German,Latin,Old Norse,Old French,French,Greek,Sanskrit,Norse",German,Latin,what,1332
41,"Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse",Latin,German,which,1268
42,,,,n't,1261
43,French,French,,were,1254
44,,,,no,1208
45,,,,there,1188
46,,,,been,1103
47,"Old English,American English,Germanic,Greek,German,Old French,French,English,Sanskrit,Latin,Old Norse,Norse,Welsh",Old English,American English,out,1091
48,"Sanskrit,Old French,French,Greek,Latin",Sanskrit,Old French,little,1087
49,,,,would,1081
50,"Sanskrit,Latin,Old French,French,Greek",Sanskrit,Latin,from,1053
51,"Sanskrit,Norse,French,Old French,Latin,Greek",Sanskrit,Norse,or,995
52,"French,Old French,Norse,Latin,Old Norse,German,Sanskrit,English,Germanic,Greek",French,Old French,very,995
53,French,French,,could,948
54,,,,an,943
55,"American English,Old Norse,German,Greek,Norse,Old French,French,English,Latin,Sanskrit,Germanic",American English,Old Norse,one,894
56,"Germanic,English,German,Sanskrit,Old Norse,Old French,French,Latin,Greek,Norse",Germanic,English,up,869
57,"Latin,Sanskrit,Norse,Old French,Old Norse,German,French,Greek",Latin,Sanskrit,am,852
58,,,,micawber,830
59,"Germanic,Old Norse,Norse,German,Greek,Old French,French,Sanskrit,Latin",Germanic,Old Norse,know,811
60,"French,Greek,Old French,Latin,Germanic,English,Old Norse,American English,Sanskrit,German,Norse",French,Greek,aunt,802
61,"Old French,French",Old French,French,upon,798
62,"American English,Latin,German,Old French,French,English,Germanic,Greek,Sanskrit,Old Norse,Norse",American English,Latin,more,777
63,,,,peggotty,768
64,"French,Old French,Greek",French,Old French,they,763
65,"Old French,French",Old French,French,into,751
66,"German,Germanic,Old Norse,Greek,Norse,Old French,French,American English,Sanskrit,Latin,English",German,Germanic,now,719
67,"Old French,French",Old French,French,are,714
68,French,French,,miss,710
69,,,,should,674
70,,,,mrs,670
71,"German,Old Norse,Norse,Old French,French,Old English,American English,Greek,Latin,Sanskrit,English,Germanic",German,Old Norse,who,666
72,"Latin,Old Norse,Old French,French,Greek,Sanskrit,Norse",Latin,Old Norse,any,664
73,"Norse,Sanskrit,Old French,Old Norse,French,Greek,Latin",Norse,Sanskrit,some,661
74,"Greek,Sanskrit,Norse,French,Latin,Old French",Greek,Sanskrit,never,659
75,"Old French,French",Old French,French,much,651
76,"Old French,French",Old French,French,about,645
77,French,French,,time,641
78,"French,Old French",French,Old French,them,633
