ranked languages,root language,second language,word,word count
,,,the,4031
"English,Germanic,German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",English,Germanic,and,2211
"German,Old Norse,Greek,Norse,Old French,French,Latin,Sanskrit",German,Old Norse,of,1845
"Germanic,Old Norse,Norse,Old French,French,English,Greek,Latin,Sanskrit,German",Germanic,Old Norse,to,1741
"German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit,Germanic",German,Old Norse,he,1695
French,French,,a,1561
"Germanic,Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse",Germanic,Latin,was,1169
"Greek,Old French,French",Greek,Old French,his,1154
French,French,,in,1044
,,,had,812
,,,her,789
,,,i,772
,,,said,755
"Latin,Greek,French,Old French",Latin,Greek,she,710
"Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",Old Norse,Old French,that,699
"Old French,French,Greek,Latin",Old French,French,it,643
,,,mr,576
,,,s,565
"Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",Old Norse,Old French,for,497
"Norse,Old Norse,Greek,Sanskrit,Old French,French,Latin,German",Norse,Old Norse,at,493
"Old French,French,Greek",Old French,French,him,486
"English,Germanic,Old Norse,Latin,Old French,French,Greek,Norse,Sanskrit,German",English,Germanic,with,481
"Sanskrit,Norse,Latin,Old French,French,Greek,Old Norse",Sanskrit,Norse,on,452
"Germanic,Greek,German,Old French,French,Latin,Sanskrit,Old Norse,Norse",Germanic,Greek,you,451
"Greek,Old French,French",Greek,Old French,as,369
,,,but,344
,,,not,286
"French,Old French,Greek",French,Old French,they,278
French,French,,were,272
"German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",German,Old Norse,when,265
,,,all,257
"Norse,Latin,Germanic,Greek,Old French,French,Old Norse,German,Sanskrit",Norse,Latin,be,246
,,,would,244
"Sanskrit,Latin,Old French,French,Greek",Sanskrit,Latin,from,235
"Welsh,English,Old Norse,Norse,Sanskrit,Old French,French,Old English,American English,Greek,Latin,Germanic,German",Welsh,English,man,232
"Old English,American English,Germanic,Greek,German,Old French,French,English,Sanskrit,Latin,Old Norse,Norse,Welsh",Old English,American English,out,230
"Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",Old Norse,Old French,by,216
"Germanic,English,German,Sanskrit,Old Norse,Old French,French,Latin,Greek,Norse",Germanic,English,up,214
,,,n't,213
"Sanskrit,Old French,French,Greek,Latin",Sanskrit,Old French,little,209
