word,word count,root word,root language,second language,ranked languages
the,169,the,Greek,Old French,Greek;Old French;French;Latin
and,118,and,English,Germanic,English;Germanic;German;Old Norse;Old French;French;Greek;Latin;Norse;Sanskrit
i,97,,,,
to,94,to,Germanic,Old Norse,Germanic;Old Norse;Norse;Old French;French;English;Greek;Latin;Sanskrit;German
of,68,of,German,Old Norse,German;Old Norse;Greek;Norse;Old French;French;Latin;Sanskrit
he,59,he,German,Old Norse,German;Old Norse;Old French;French;Greek;Latin;Norse;Sanskrit;Germanic
was,57,was,Germanic,Latin,Germanic;Latin;German;Old French;French;Greek;Sanskrit;Old Norse;Norse
in,53,in,Old Norse,German,Old Norse;German;Norse;Sanskrit;Old French;Old English;French;English;Germanic;Greek;Latin;American English
that,50,that,Old Norse,Old French,Old Norse;Old French;French;Greek;Latin;Norse;Sanskrit
his,49,his,Greek,Old French,Greek;Old French;French
a,45,,,,
my,44,,,,
him,43,him,Old French,French,Old French;French;Greek
it,43,it,Old French,French,Old French;French;Greek;Latin
said,37,,,,
me,35,me,English,American English,English;American English;Germanic;German;Old Norse;Old French;French;Welsh;Old English;Latin;Greek;Norse;Sanskrit;Irish
had,34,,,,
for,31,for,Old Norse,Old French,Old Norse;Old French;French;Greek;Latin;Norse;Sanskrit
as,26,as,Greek,Old French,Greek;Old French;French
s,26,,,,
her,23,her,Sanskrit,French,Sanskrit;French;Old French;Latin;Greek
she,23,she,Latin,Greek,Latin;Greek;French;Old French
at,22,at,Norse,Old Norse,Norse;Old Norse;Greek;Sanskrit;Old French;French;Latin;German
all,20,all,Sanskrit,Latin,Sanskrit;Latin;Old French;French;Greek
aunt,20,aunt,French,Greek,French;Greek;Old French;Latin;Germanic;English;Old Norse;American English;Sanskrit;German;Norse
with,20,with,English,Germanic,English;Germanic;Old Norse;Latin;Old French;French;Greek;Norse;Sanskrit;German
but,19,but,Old French,French,Old French;French
old,19,old,English,Old Norse,English;Old Norse;German;Norse;Sanskrit;Old French;French;Germanic;Greek;Latin
you,19,you,Germanic,Greek,Germanic;Greek;German;Old French;French;Latin;Sanskrit;Old Norse;Norse
there,17,there,Germanic,German,Germanic;German;Sanskrit;Old French;French;Greek;Latin;Old Norse;Norse
no,16,no,Greek,Sanskrit,Greek;Sanskrit;Old French;French;Latin
then,16,then,Norse,Old French,Norse;Old French;French;Latin;Greek;Sanskrit
we,16,we,German,Latin,German;Latin;Old Norse;Old French;French;Greek;Sanskrit;Norse;Germanic
eliza,13,,,,
on,13,on,Sanskrit,Norse,Sanskrit;Norse;Latin;Old French;French;Greek;Old Norse
were,13,were,French,,French
when,13,when,German,Old Norse,German;Old Norse;Old French;French;Greek;Latin;Norse;Sanskrit
cotter,12,,,,
have,12,have,Old Norse,Greek,Old Norse;Greek;Norse;Old French;German;French;Latin;Sanskrit
not,12,not,French,,French
by,11,by,Old Norse,Old French,Old Norse;Old French;French;Greek;Latin;Norse;Sanskrit
out,11,out,Old English,American English,Old English;American English;Germanic;Greek;German;Old French;French;English;Sanskrit;Latin;Old Norse;Norse;Welsh
would,11,would,French,,French
about,10,about,Old French,French,Old French;French
be,10,be,Norse,Latin,Norse;Latin;Germanic;Greek;Old French;French;Old Norse;German;Sanskrit
could,10,could,French,,French
head,10,head,French,,French
n't,10,,,,
one,10,one,American English,Old Norse,American English;Old Norse;German;Greek;Norse;Old French;French;English;Latin;Sanskrit;Germanic
so,10,so,Germanic,Old Norse,Germanic;Old Norse;Norse;Old French;French;Greek;German;Sanskrit;Latin
us,10,us,German,Germanic,German;Germanic;Old Norse;Latin;Norse;Welsh;French;Old English;American English;Old French;Greek;Sanskrit;English
if,9,,,,
little,9,,,,
poor,9,,,,
they,9,,,,
great,8,,,,
over,8,,,,
say,8,,,,
too,8,,,,
up,8,,,,
went,8,,,,
what,8,,,,
again,7,,,,
himself,7,,,,
house,7,,,,
into,7,,,,
knew,7,,,,
like,7,,,,
night,7,,,,
now,7,,,,
some,7,,,,
